,商品,销售标签,总金额标签,商品总体画像
67,凤爪,正常,低金额,正常低金额
68,咪咪,正常,低金额,正常低金额
69,可乐可乐,正常,低金额,正常低金额
70,2g韩国海牌海苔,正常,低金额,正常低金额
71,225g味之不规则饼干芝士味,正常,低金额,正常低金额
72,70g乖媳妇野山泡椒凤爪,正常,低金额,正常低金额
73,85g新麦潮手撕面包（提子味）,滞销,低金额,滞销低金额
74,脉动,热销,普通,热销普通
75,20g马来西亚风味咪咪蟹味粒0219,正常,低金额,正常低金额
76,205ml安慕希蓝莓味,正常,低金额,正常低金额
77,小鱼仔,正常,低金额,正常低金额
78,果粒橙,滞销,高金额,滞销高金额
79,145ml旺仔牛奶罐装,正常,低金额,正常低金额
80,145g果王迷你山楂包装,正常,低金额,正常低金额
81,13g无穷烤鸡小腿蜂蜜味,滞销,高金额,滞销高金额
82,珠江纯生啤酒,正常,低金额,正常低金额
83,伊利纯牛奶,滞销,高金额,滞销高金额
84,卫龙大面筋,滞销,低金额,滞销低金额
85,370g泰奇八宝粥,正常,低金额,正常低金额
86,怡宝,正常,低金额,正常低金额
87,32g卫龙亲嘴烧,滞销,低金额,滞销低金额
88,80g四洲粟一烧烧烤味,正常,低金额,正常低金额
89,芬达330ml,滞销,高金额,滞销高金额
90,10g卫龙亲嘴烧香辣味,正常,低金额,正常低金额
91,咪咪虾条马来西亚风味,正常,低金额,正常低金额
92,无穷农场盐_鸡蛋,正常,低金额,正常低金额
93,顺宝九制梅,正常,低金额,正常低金额
94,丽芝士纳宝帝奶酪威化饼干,正常,低金额,正常低金额
95,34g公仔迷你杯风味排骨味,正常,低金额,正常低金额
96,85g统一老坛酸菜牛肉面,滞销,高金额,滞销高金额
97,维他柠檬茶,滞销,低金额,滞销低金额
98,50g马赛克手撕鱿鱼条,正常,低金额,正常低金额
99,330ml伊利畅意乳酸菌原味,滞销,高金额,滞销高金额
100,印尼芝士威化饼干,正常,低金额,正常低金额
101,250ml统一麦香奶茶,正常,低金额,正常低金额
102,450ml美汁源果粒橙,滞销,低金额,滞销低金额
103,40g双汇玉米热狗肠,滞销,高金额,滞销高金额
104,110g顺宝九制话梅,正常,低金额,正常低金额
105,500ml加多宝,正常,低金额,正常低金额
106,78g卫龙亲嘴语辣条,滞销,低金额,滞销低金额
107,600ml雪碧,滞销,低金额,滞销低金额
108,经典奶茶,正常,低金额,正常低金额
109,58g丽芝士纳宝帝奶酪威化饼干,正常,低金额,正常低金额
110,康师傅矿泉水,正常,低金额,正常低金额
111,可口可乐（500ml）,滞销,高金额,滞销高金额
112,王老吉（500ml）,滞销,高金额,滞销高金额
113,茉莉蜜茶,正常,低金额,正常低金额
114,百事可乐500ml,正常,低金额,正常低金额
115,5片装益达绿箭口香糖,正常,低金额,正常低金额
116,40g上好佳日式鱼果,正常,低金额,正常低金额
117,180g统一满汉全席台式半筋半肉牛肉面,正常,低金额,正常低金额
118,加多宝,正常,低金额,正常低金额
119,尖叫,正常,低金额,正常低金额
120,50g上好佳田园薯片番茄味,正常,低金额,正常低金额
121,40g乐事薯片黄瓜味,正常,低金额,正常低金额
122,50g上好佳日式鱼果,正常,低金额,正常低金额
123,劲仔小鱼（卤香味）,正常,低金额,正常低金额
124,52g旺旺仙贝,正常,低金额,正常低金额
125,65g卫龙亲嘴豆皮,正常,低金额,正常低金额
126,55g奥利奥原味夹心饼干,正常,低金额,正常低金额
127,美年达（罐）,正常,低金额,正常低金额
128,40g乐事美国经典原味,正常,低金额,正常低金额
129,韩国海牌海苔,正常,低金额,正常低金额
130,117gUFO炒面铁板色拉鱿鱼风味,正常,低金额,正常低金额
131,诗竹竹纤维面巾纸,正常,低金额,正常低金额
132,椰树牌椰汁,正常,低金额,正常低金额
133,500ml恒大冰泉矿泉水,正常,低金额,正常低金额
134,48g好丽友薯愿香烤原味,正常,低金额,正常低金额
135,雪碧,正常,低金额,正常低金额
136,32g卫龙亲嘴烧红烧牛肉味,正常,低金额,正常低金额
137,统一阿萨姆奶茶,正常,低金额,正常低金额
138,70g乐事薯片原味,正常,低金额,正常低金额
139,安慕希酸奶,正常,低金额,正常低金额
140,和成天下（黄）,正常,低金额,正常低金额
141,口味王槟榔（红）,正常,低金额,正常低金额
142,100g果王咸柑桔罐装,正常,低金额,正常低金额
143,70g乐事薯片（原味）,正常,低金额,正常低金额
144,12g劲仔小鱼卤香味,正常,低金额,正常低金额
145,70g乐事薯片（黄瓜味）,正常,低金额,正常低金额
146,500ML宝矿力,正常,低金额,正常低金额
147,86g合味道浓猪骨味,正常,低金额,正常低金额
148,130g果王玉带蚕豆,正常,低金额,正常低金额
149,湘潭铺子(羽泉版),正常,低金额,正常低金额
150,500ml康师傅冰糖雪梨,正常,低金额,正常低金额
151,雀巢咖啡,正常,高金额,正常高金额
152,75g新麦潮天然酵母面包（北海道牛奶风味）,正常,低金额,正常低金额
153,220g宝丰龙龟苓膏绿豆味,正常,低金额,正常低金额
154,91g徐福记凤梨酥,正常,低金额,正常低金额
155,40g呀土豆番茄酱味,正常,低金额,正常低金额
156,燕塘红枣牛奶,正常,低金额,正常低金额
157,燕塘原味酸奶,正常,低金额,正常低金额
158,小茗同学,正常,低金额,正常低金额
159,卫龙亲嘴烧红烧牛肉味,正常,低金额,正常低金额
160,85g嘉士利果乐果香夹心饼干蓝莓味,正常,低金额,正常低金额
161,新麦潮天然酵母面包（良品铺子）,正常,低金额,正常低金额
162,40g乐事薯片墨西哥鸡汁番茄味,正常,低金额,正常低金额
163,百事可乐330ml,正常,低金额,正常低金额
164,85g新麦潮北海道吐司,滞销,低金额,滞销低金额
165,好吃点小饼干,正常,低金额,正常低金额
166,雪碧330ml,滞销,低金额,滞销低金额
167,260g马来西亚进口茱蒂丝口口香饼干,正常,高金额,正常高金额
168,150抽诗竹竹纤维面巾纸,正常,低金额,正常低金额
169,68g好丽友蛋黄派2枚,正常,低金额,正常低金额
170,50g双层百力滋特浓番茄味,正常,低金额,正常低金额
171,乐事薯片（青柠）,正常,低金额,正常低金额
172,37.5g费列罗榛果威化巧克力3颗,正常,低金额,正常低金额
173,怡宝矿泉水,正常,低金额,正常低金额
174,乖媳妇野山椒风爪,正常,低金额,正常低金额
175,劲仔小鱼（酱汁味）,正常,低金额,正常低金额
176,和成天下（红）,正常,低金额,正常低金额
177,188g澳门永辉鸡仔饼,正常,低金额,正常低金额
178,40g呀土豆薯片滋香烤鸡味,正常,低金额,正常低金额
179,新麦潮天然酵母面包（牛奶风味）,正常,低金额,正常低金额
180,103g康师傅红烧牛肉面,正常,低金额,正常低金额
181,55g奥利奥迷你杯夹心小饼干杯装原味,正常,低金额,正常低金额
182,拿铁咖啡（统一）,正常,低金额,正常低金额
183,燕塘甜牛奶,正常,低金额,正常低金额
184,小糖衣血糖仪,正常,低金额,正常低金额
185,劲仔小鱼（麻辣味）,正常,低金额,正常低金额
186,阿萨姆煎茶奶绿,正常,低金额,正常低金额
187,480ml小茗同学冷泡溜溜哒茶,正常,低金额,正常低金额
188,30g元朗小蛋卷,正常,低金额,正常低金额
189,日式鱼果,正常,低金额,正常低金额
190,健能酸奶,正常,低金额,正常低金额
191,45g双汇泡面拍挡,正常,低金额,正常低金额
192,10g越南LIPO奶味面包干0015,正常,低金额,正常低金额
193,250ml维他椰子植物蛋白饮料9374,正常,低金额,正常低金额
194,旺仔牛奶145ml,正常,低金额,正常低金额
195,70g乐事薯片黄瓜味,正常,低金额,正常低金额
196,脉动（椰子菠萝口味）,正常,低金额,正常低金额
197,250ml王老吉盒装,正常,低金额,正常低金额
198,68g多力多玉米片爆香热辣味,正常,低金额,正常低金额
199,50g双层百力滋奶咖味,正常,低金额,正常低金额
200,乐事薯片（黄瓜味）,正常,低金额,正常低金额
201,美汁源果粒橙,正常,低金额,正常低金额
202,味之不规则饼干（芝士味）,正常,低金额,正常低金额
203,80g马赛克香蕉片,正常,低金额,正常低金额
204,冰红茶（罐）,正常,低金额,正常低金额
205,32g卫龙亲嘴烧川香味,正常,低金额,正常低金额
206,40g上好佳田园薯片番茄味,正常,低金额,正常低金额
207,泰奇八宝粥,正常,低金额,正常低金额
208,40g卫龙点心面黑椒牛排味,正常,低金额,正常低金额
209,合味道（海鲜风味）,正常,低金额,正常低金额
210,多芙利香草奶油味蛋糕,正常,低金额,正常低金额
211,107g出前一丁桶面酱香牛肉王,正常,低金额,正常低金额
212,芦荟汁,正常,低金额,正常低金额
213,80g盼盼手撕面包,正常,低金额,正常低金额
214,100g卫龙点心面黑椒牛排味,正常,低金额,正常低金额
215,农夫果园,正常,低金额,正常低金额
216,统一来一桶香辣老坛酸菜牛肉面,正常,低金额,正常低金额
217,鸡爪,正常,低金额,正常低金额
218,手撕素肉排,正常,低金额,正常低金额
219,新麦潮北海道吐司,正常,低金额,正常低金额
220,好吃点,正常,低金额,正常低金额
221,维他柠檬茶330ml（罐）,正常,低金额,正常低金额
222,可口可乐330ml（罐）,正常,低金额,正常低金额
223,80g香飘飘椰果奶茶麦香味,正常,低金额,正常低金额
224,盼盼手撕面包,正常,低金额,正常低金额
225,每日特惠,正常,低金额,正常低金额
226,合味道（浓猪骨）,正常,低金额,正常低金额
227,250ml维他奶黑豆奶饮品,正常,低金额,正常低金额
228,商品1,正常,低金额,正常低金额
229,乐虎,正常,低金额,正常低金额
230,500ml统一冰糖雪梨,正常,低金额,正常低金额
231,乐虎（380ml）,正常,低金额,正常低金额
232,迷你纸巾,正常,低金额,正常低金额
233,500ml营养快线原味,正常,低金额,正常低金额
234,250ml维他椰子味豆奶7716,正常,低金额,正常低金额
235,巧克力奶油味蛋糕,正常,低金额,正常低金额
236,78g合味道杯面香菇炖鸡风味,正常,低金额,正常低金额
237,维他奶黑豆奶饮品,正常,低金额,正常低金额
238,20g咩咩世界虾味条,正常,低金额,正常低金额
239,秒充,正常,低金额,正常低金额
240,新麦潮手撕面包（提子味）,正常,低金额,正常低金额
241,味之不规则饼干（番茄味）,正常,低金额,正常低金额
242,70g乐事薯片青柠味,正常,低金额,正常低金额
243,330ml伊利畅意乳酸菌草莓味,正常,低金额,正常低金额
244,威化饼干,正常,低金额,正常低金额
245,商品2,正常,低金额,正常低金额
246,雪力矿泉水,正常,低金额,正常低金额
247,20g士力架,正常,低金额,正常低金额
248,卫龙亲嘴烧麦辣鸡汁味,正常,低金额,正常低金额
249,340ml蒙牛优益C乳酸菌,正常,低金额,正常低金额
250,83g汤达人酸辣豚骨拉面,正常,低金额,正常低金额
251,四洲粟一烧烧烤味,正常,低金额,正常低金额
252,220g宝丰龙龟苓膏菊花味,正常,低金额,正常低金额
253,78g卫龙亲语,正常,低金额,正常低金额
254,12g劲仔小鱼（香辣味）,正常,低金额,正常低金额
255,14g德芙巧克力,正常,低金额,正常低金额
256,75g达利园柠檬蛋糕,正常,低金额,正常低金额
257,123gUFO炒面XO酱海鲜风味,正常,低金额,正常低金额
258,小茗同学冷泡茶（乳酸菌味）,正常,低金额,正常低金额
259,10g越南LIPO奶味面包干,正常,低金额,正常低金额
260,13g雀巢咖啡1+2特浓,正常,低金额,正常低金额
261,60g溜溜九制梅,正常,低金额,正常低金额
262,小茗同学（青柠红茶）,正常,低金额,正常低金额
263,40g盼盼手撕面包,正常,低金额,正常低金额
264,新麦潮天然酵母面包,正常,低金额,正常低金额
265,商品21,正常,低金额,正常低金额
266,10g越南LIPO奶味面包干0046,正常,低金额,正常低金额
