,商品,销售标签,总金额标签,商品总体画像
51,果粒橙,正常,普通,正常普通
52,伊利纯牛奶,正常,普通,正常普通
53,熊字饼,滞销,普通,滞销普通
54,雪碧最新款,正常,普通,正常普通
55,小鱼仔,正常,低金额,正常低金额
56,40g呀土豆薯片滋香烤鸡味,滞销,低金额,滞销低金额
57,500ml农夫果园 (芒果+菠萝+番石榴),滞销,低金额,滞销低金额
58,75g新麦潮天然酵母面包（北海道牛奶风味）,滞销,低金额,滞销低金额
59,250ml维他原味豆奶,正常,普通,正常普通
60,雪碧330ml,滞销,低金额,滞销低金额
61,480ml小茗同学冷泡青柠红茶,滞销,低金额,滞销低金额
62,250ml统一麦香奶茶,滞销,低金额,滞销低金额
63,40g呀土豆番茄酱味,滞销,低金额,滞销低金额
64,银鹭八宝粥,滞销,普通,滞销普通
65,70g乐事薯片（黄瓜味）,滞销,低金额,滞销低金额
66,香豆干,正常,低金额,正常低金额
67,雪碧（500ml）,正常,普通,正常普通
68,美汁源果粒橙,滞销,低金额,滞销低金额
69,2g韩国海牌海苔,滞销,低金额,滞销低金额
70,可乐可乐,滞销,低金额,滞销低金额
71,250ml燕塘红枣牛奶,滞销,普通,滞销普通
72,160g盼盼手撕面包,滞销,低金额,滞销低金额
73,86g合味道海鲜风味,滞销,普通,滞销普通
74,口味王槟榔（红）,滞销,普通,滞销普通
75,80g马赛克香蕉片,滞销,低金额,滞销低金额
76,凤爪,滞销,低金额,滞销低金额
77,225g味之不规则饼干芝士味,滞销,低金额,滞销低金额
78,咪咪,滞销,低金额,滞销低金额
79,雀巢咖啡,滞销,低金额,滞销低金额
80,维他柠檬茶,滞销,低金额,滞销低金额
81,330ml伊利畅意乳酸菌原味,滞销,普通,滞销普通
82,600ml雪碧,滞销,低金额,滞销低金额
83,50g上好佳田园薯片番茄味,滞销,低金额,滞销低金额
84,12g劲仔小鱼麻辣味,滞销,低金额,滞销低金额
85,30g元朗小蛋卷,滞销,低金额,滞销低金额
86,205g伊利安慕希原味,滞销,普通,滞销普通
87,芙蓉王,滞销,普通,滞销普通
88,145ml旺仔牛奶盒装,正常,普通,正常普通
89,45g双汇泡面拍挡,滞销,低金额,滞销低金额
90,370g泰奇八宝粥,滞销,低金额,滞销低金额
91,55g奥利奥原味芝士饼干,滞销,低金额,滞销低金额
92,70g乐事薯片（原味）,滞销,低金额,滞销低金额
93,卫龙大面筋,正常,普通,正常普通
94,78g卫龙亲嘴语辣条,滞销,低金额,滞销低金额
95,5片装益达绿箭口香糖,滞销,低金额,滞销低金额
96,13g无穷烤鸡小腿蜂蜜味,正常,普通,正常普通
97,500ML宝矿力,滞销,低金额,滞销低金额
98,口味王槟榔（绿）,滞销,普通,滞销普通
99,好吃点,滞销,低金额,滞销低金额
100,印尼芝士威化饼干,滞销,低金额,滞销低金额
101,湘潭铺子(羽泉版),滞销,低金额,滞销低金额
102,手撕素肉排,滞销,低金额,滞销低金额
103,好吃点小饼干,滞销,低金额,滞销低金额
104,怡宝,滞销,低金额,滞销低金额
105,椰树牌椰汁,滞销,低金额,滞销低金额
106,阿萨姆煎茶奶绿,滞销,低金额,滞销低金额
107,美年达（罐）,滞销,低金额,滞销低金额
108,雪力矿泉水,滞销,低金额,滞销低金额
109,可口可乐（500ml）,滞销,低金额,滞销低金额
110,乐虎,滞销,低金额,滞销低金额
111,12g劲仔小鱼卤香味,滞销,低金额,滞销低金额
112,鸡爪,滞销,低金额,滞销低金额
113,86g合味道浓猪骨味,滞销,低金额,滞销低金额
114,可口可乐330ml（罐）,滞销,低金额,滞销低金额
115,康师傅矿泉水,滞销,低金额,滞销低金额
116,尖叫,滞销,低金额,滞销低金额
117,冰红茶（罐）,滞销,低金额,滞销低金额
118,260g马来西亚进口茱蒂丝口口香饼干,滞销,普通,滞销普通
119,148g富甲一方紫薯仔,滞销,低金额,滞销低金额
120,70g乐事薯片黄瓜味,滞销,低金额,滞销低金额
121,103g康师傅红烧牛肉面,滞销,低金额,滞销低金额
122,70g乐事薯片原味,滞销,低金额,滞销低金额
123,52g旺旺仙贝,滞销,低金额,滞销低金额
124,10g卫龙亲嘴烧香辣味,滞销,低金额,滞销低金额
125,80g香飘飘椰果奶茶麦香味,滞销,低金额,滞销低金额
126,100g*5瓶益力多,滞销,普通,滞销普通
127,无穷烤鸡小腿（蜂蜜）,滞销,低金额,滞销低金额
128,250ml红牛,滞销,普通,滞销普通
129,91g徐福记凤梨酥,滞销,低金额,滞销低金额
130,250ml维他奶低糖原味,滞销,低金额,滞销低金额
131,65g卫龙亲嘴豆皮,滞销,低金额,滞销低金额
132,188g澳门永辉鸡仔饼,滞销,普通,滞销普通
133,70g乖媳妇野山泡椒凤爪,滞销,低金额,滞销低金额
134,250ML东鹏特饮,滞销,低金额,滞销低金额
135,150g健能酸奶原味,滞销,低金额,滞销低金额
136,48g好丽友薯愿香烤原味,滞销,低金额,滞销低金额
137,250ml王老吉盒装,滞销,低金额,滞销低金额
138,50g双层百力滋特浓番茄味,滞销,低金额,滞销低金额
139,55g奥利奥原味夹心饼干,滞销,低金额,滞销低金额
140,100g卫龙点心面黑椒牛排味,滞销,低金额,滞销低金额
141,80g四洲粟一烧烧烤味,滞销,低金额,滞销低金额
142,68g好丽友巧克力派2枚,滞销,低金额,滞销低金额
143,32g卫龙亲嘴烧红烧牛肉味,滞销,低金额,滞销低金额
144,32g卫龙亲嘴烧川香味,滞销,低金额,滞销低金额
145,乐虎（380ml）,滞销,低金额,滞销低金额
146,268ml雀巢咖啡丝滑拿铁,滞销,普通,滞销普通
147,无穷农场盐_鸡蛋,滞销,低金额,滞销低金额
148,50g马赛克手撕鱿鱼条,滞销,低金额,滞销低金额
149,合味道（海鲜风味）,滞销,低金额,滞销低金额
150,600ml脉动青柠,滞销,低金额,滞销低金额
151,乖媳妇野山椒风爪,滞销,低金额,滞销低金额
152,小糖衣血糖试纸,滞销,低金额,滞销低金额
153,怡宝矿泉水,滞销,低金额,滞销低金额
154,无穷烤鸡小腿,滞销,低金额,滞销低金额
155,180ml雀巢咖啡罐装,滞销,低金额,滞销低金额
156,咪咪虾条马来西亚风味,滞销,低金额,滞销低金额
157,145g果王迷你山楂包装,滞销,低金额,滞销低金额
158,40g上好佳日式鱼果,滞销,低金额,滞销低金额
159,燕塘原味酸奶,滞销,低金额,滞销低金额
160,和成天下（黄）,滞销,低金额,滞销低金额
161,40g乐事薯片墨西哥鸡汁番茄味,滞销,低金额,滞销低金额
162,110g顺宝九制话梅,滞销,低金额,滞销低金额
163,500ml恒大冰泉矿泉水,滞销,低金额,滞销低金额
164,130g果王玉带蚕豆,滞销,低金额,滞销低金额
165,34g公仔迷你杯风味排骨味,滞销,低金额,滞销低金额
166,20g马来西亚风味咪咪蟹味粒0219,滞销,低金额,滞销低金额
167,34g公仔迷你杯牛肉味,滞销,低金额,滞销低金额
168,100g果王咸柑桔罐装,滞销,低金额,滞销低金额
169,500ml统一冰糖雪梨,滞销,低金额,滞销低金额
170,340ml蒙牛优益C乳酸菌,滞销,低金额,滞销低金额
171,燕塘甜牛奶,滞销,低金额,滞销低金额
172,丽芝士纳宝帝奶酪威化饼干,滞销,低金额,滞销低金额
173,乐事薯片（黄瓜味）,滞销,低金额,滞销低金额
174,68g好丽友蛋黄派2枚,滞销,低金额,滞销低金额
175,双汇玉米热狗肠,滞销,低金额,滞销低金额
176,越南LIPO奶味面包干100g,滞销,低金额,滞销低金额
177,芦荟汁,滞销,低金额,滞销低金额
178,80g香飘飘椰果奶茶原味,滞销,低金额,滞销低金额
179,健能酸奶,滞销,低金额,滞销低金额
180,37.5g费列罗榛果威化巧克力3颗,滞销,低金额,滞销低金额
181,180g统一满汉全席台式半筋半肉牛肉面,滞销,普通,滞销普通
182,四洲粟一烧烧烤味,滞销,低金额,滞销低金额
183,50g双层百力滋奶咖味,滞销,低金额,滞销低金额
184,205ml安慕希蓝莓味,滞销,低金额,滞销低金额
185,500ml康师傅冰糖雪梨,滞销,低金额,滞销低金额
186,40g卫龙点心面黑椒牛排味,滞销,低金额,滞销低金额
187,康师傅拉面(袋),滞销,低金额,滞销低金额
188,商品14,滞销,低金额,滞销低金额
189,250ml维他椰子植物蛋白饮料,滞销,低金额,滞销低金额
190,泰奇八宝粥,滞销,低金额,滞销低金额
191,劲仔小鱼（麻辣味）,滞销,低金额,滞销低金额
192,330ml伊利畅意乳酸菌草莓味,滞销,低金额,滞销低金额
193,合味道（浓猪骨）,滞销,低金额,滞销低金额
194,天地一号,滞销,低金额,滞销低金额
195,68g多力多玉米片爆香热辣味,滞销,低金额,滞销低金额
196,百事可乐330ml,滞销,低金额,滞销低金额
197,脉动（青柠）,滞销,低金额,滞销低金额
198,250ml香满楼纯牛奶,滞销,低金额,滞销低金额
199,燕塘红枣牛奶,滞销,低金额,滞销低金额
200,统一阿萨姆奶茶,滞销,低金额,滞销低金额
201,117gUFO炒面铁板色拉鱿鱼风味,滞销,低金额,滞销低金额
202,250ml维他椰子植物蛋白饮料9374,滞销,低金额,滞销低金额
203,小茗同学（青柠红茶）,滞销,低金额,滞销低金额
204,上好佳田园薯片,滞销,低金额,滞销低金额
205,旺仔牛奶145ml,滞销,低金额,滞销低金额
206,旺仔牛奶,滞销,低金额,滞销低金额
207,优益C活菌型乳酸菌饮品,滞销,低金额,滞销低金额
208,80g盼盼手撕面包,滞销,低金额,滞销低金额
209,78g合味道杯面香菇炖鸡风味,滞销,低金额,滞销低金额
210,味之不规则饼干（芝士味）,滞销,低金额,滞销低金额
211,益力多100g*5瓶,滞销,低金额,滞销低金额
212,商品2,滞销,低金额,滞销低金额
213,加多宝,滞销,低金额,滞销低金额
214,汤达人方便面,滞销,低金额,滞销低金额
215,立体声耳机（象牙白）,滞销,低金额,滞销低金额
216,商品1,滞销,低金额,滞销低金额
217,拿铁咖啡（统一）,滞销,低金额,滞销低金额
218,小糖衣血糖仪,滞销,低金额,滞销低金额
219,迷你纸巾,滞销,低金额,滞销低金额
220,维他柠檬茶330ml（罐）,滞销,低金额,滞销低金额
221,83g汤达人酸辣豚骨拉面,滞销,低金额,滞销低金额
222,珠江纯生啤酒,滞销,低金额,滞销低金额
223,经典奶茶,滞销,低金额,滞销低金额
224,13g雀巢咖啡1+2特浓,滞销,低金额,滞销低金额
225,维他奶（巧克力味）,滞销,低金额,滞销低金额
226,韩国海牌海苔,滞销,低金额,滞销低金额
227,150抽诗竹竹纤维面巾纸,滞销,低金额,滞销低金额
228,奥利奥原味芝士,滞销,低金额,滞销低金额
229,农夫果园,滞销,低金额,滞销低金额
230,利群（硬）,滞销,低金额,滞销低金额
231,40g上好佳田园薯片番茄味,滞销,低金额,滞销低金额
232,卫龙亲嘴烧红烧牛肉味,滞销,低金额,滞销低金额
233,220g宝丰龙龟苓膏,滞销,低金额,滞销低金额
234,200g喜之郎/什锦果肉,滞销,低金额,滞销低金额
235,55g奥利奥迷你杯夹心小饼干杯装原味,滞销,低金额,滞销低金额
236,多芙利香草奶油味蛋糕,滞销,低金额,滞销低金额
237,卫龙亲嘴烧麦辣鸡汁味,滞销,低金额,滞销低金额
238,顺宝九制梅,滞销,低金额,滞销低金额
239,145ml旺仔牛奶罐装,滞销,低金额,滞销低金额
240,乐事薯片（青柠）,滞销,低金额,滞销低金额
241,220g宝丰龙龟苓膏绿豆味,滞销,低金额,滞销低金额
242,107g出前一丁桶面酱香牛肉王,滞销,低金额,滞销低金额
243,小茗同学,滞销,低金额,滞销低金额
244,90g顺宝九制杨梅,滞销,低金额,滞销低金额
245,12g劲仔小鱼（香辣味）,滞销,低金额,滞销低金额
246,每日特惠,滞销,低金额,滞销低金额
247,新麦潮天然酵母面包（牛奶风味）,滞销,低金额,滞销低金额
248,480ml小茗同学冷泡溜溜哒茶,滞销,低金额,滞销低金额
249,日式鱼果,滞销,低金额,滞销低金额
250,盼盼手撕面包,滞销,低金额,滞销低金额
251,20g士力架,滞销,低金额,滞销低金额
252,小茗同学冷泡茶（乳酸菌味）,滞销,低金额,滞销低金额
253,脉动（椰子菠萝口味）,滞销,低金额,滞销低金额
254,雪碧,滞销,低金额,滞销低金额
255,新麦潮手撕面包（提子味）,滞销,低金额,滞销低金额
256,220g宝丰龙龟苓膏菊花味,滞销,低金额,滞销低金额
257,新麦潮北海道吐司,滞销,低金额,滞销低金额
258,口味王槟榔（绿色）,滞销,低金额,滞销低金额
259,娃哈哈红枣酸奶,滞销,低金额,滞销低金额
260,汤达人桶面,滞销,低金额,滞销低金额
