,商品,标签
116,尖叫,正常
117,冰红茶（罐）,正常
118,260g马来西亚进口茱蒂丝口口香饼干,正常
119,148g富甲一方紫薯仔,正常
120,70g乐事薯片黄瓜味,正常
121,103g康师傅红烧牛肉面,正常
122,70g乐事薯片原味,正常
123,52g旺旺仙贝,正常
124,10g卫龙亲嘴烧香辣味,正常
125,80g香飘飘椰果奶茶麦香味,正常
126,100g*5瓶益力多,正常
127,无穷烤鸡小腿（蜂蜜）,正常
128,250ml红牛,正常
129,91g徐福记凤梨酥,正常
130,250ml维他奶低糖原味,正常
131,65g卫龙亲嘴豆皮,正常
132,188g澳门永辉鸡仔饼,正常
133,70g乖媳妇野山泡椒凤爪,正常
134,250ML东鹏特饮,正常
135,150g健能酸奶原味,正常
136,48g好丽友薯愿香烤原味,正常
137,250ml王老吉盒装,正常
138,50g双层百力滋特浓番茄味,正常
139,55g奥利奥原味夹心饼干,正常
140,100g卫龙点心面黑椒牛排味,正常
141,80g四洲粟一烧烧烤味,正常
142,68g好丽友巧克力派2枚,正常
143,32g卫龙亲嘴烧红烧牛肉味,正常
144,32g卫龙亲嘴烧川香味,正常
145,乐虎（380ml）,正常
146,268ml雀巢咖啡丝滑拿铁,正常
147,无穷农场盐_鸡蛋,正常
148,50g马赛克手撕鱿鱼条,正常
149,合味道（海鲜风味）,正常
150,600ml脉动青柠,正常
151,乖媳妇野山椒风爪,正常
152,小糖衣血糖试纸,正常
153,怡宝矿泉水,正常
154,无穷烤鸡小腿,正常
155,180ml雀巢咖啡罐装,正常
156,咪咪虾条马来西亚风味,正常
157,145g果王迷你山楂包装,正常
158,40g上好佳日式鱼果,正常
159,燕塘原味酸奶,正常
160,和成天下（黄）,正常
161,40g乐事薯片墨西哥鸡汁番茄味,正常
162,110g顺宝九制话梅,正常
163,500ml恒大冰泉矿泉水,正常
164,130g果王玉带蚕豆,正常
165,34g公仔迷你杯风味排骨味,正常
166,20g马来西亚风味咪咪蟹味粒0219,正常
167,34g公仔迷你杯牛肉味,正常
168,100g果王咸柑桔罐装,正常
169,500ml统一冰糖雪梨,正常
170,340ml蒙牛优益C乳酸菌,正常
171,燕塘甜牛奶,正常
172,丽芝士纳宝帝奶酪威化饼干,正常
173,乐事薯片（黄瓜味）,正常
174,68g好丽友蛋黄派2枚,正常
175,双汇玉米热狗肠,正常
176,越南LIPO奶味面包干100g,正常
177,芦荟汁,正常
178,80g香飘飘椰果奶茶原味,正常
179,健能酸奶,正常
180,37.5g费列罗榛果威化巧克力3颗,正常
181,180g统一满汉全席台式半筋半肉牛肉面,正常
182,四洲粟一烧烧烤味,正常
183,50g双层百力滋奶咖味,正常
184,205ml安慕希蓝莓味,正常
185,500ml康师傅冰糖雪梨,正常
186,40g卫龙点心面黑椒牛排味,正常
187,康师傅拉面(袋),正常
188,商品14,正常
189,250ml维他椰子植物蛋白饮料,正常
190,泰奇八宝粥,正常
191,劲仔小鱼（麻辣味）,正常
192,330ml伊利畅意乳酸菌草莓味,正常
193,合味道（浓猪骨）,正常
194,天地一号,正常
195,68g多力多玉米片爆香热辣味,正常
196,百事可乐330ml,正常
197,脉动（青柠）,正常
198,250ml香满楼纯牛奶,正常
199,燕塘红枣牛奶,正常
200,统一阿萨姆奶茶,正常
201,117gUFO炒面铁板色拉鱿鱼风味,正常
202,250ml维他椰子植物蛋白饮料9374,正常
203,小茗同学（青柠红茶）,正常
204,上好佳田园薯片,正常
205,旺仔牛奶145ml,正常
206,旺仔牛奶,正常
207,优益C活菌型乳酸菌饮品,正常
208,80g盼盼手撕面包,正常
209,78g合味道杯面香菇炖鸡风味,正常
210,味之不规则饼干（芝士味）,正常
211,益力多100g*5瓶,正常
212,商品2,正常
213,加多宝,正常
214,汤达人方便面,正常
215,立体声耳机（象牙白）,正常
216,商品1,正常
217,拿铁咖啡（统一）,正常
218,小糖衣血糖仪,正常
219,迷你纸巾,正常
220,维他柠檬茶330ml（罐）,正常
221,83g汤达人酸辣豚骨拉面,正常
222,珠江纯生啤酒,正常
223,经典奶茶,正常
224,13g雀巢咖啡1+2特浓,正常
225,维他奶（巧克力味）,正常
226,韩国海牌海苔,正常
227,150抽诗竹竹纤维面巾纸,正常
228,奥利奥原味芝士,正常
229,农夫果园,正常
230,利群（硬）,正常
231,40g上好佳田园薯片番茄味,正常
232,卫龙亲嘴烧红烧牛肉味,正常
233,220g宝丰龙龟苓膏,正常
234,200g喜之郎/什锦果肉,正常
235,55g奥利奥迷你杯夹心小饼干杯装原味,正常
236,多芙利香草奶油味蛋糕,正常
237,卫龙亲嘴烧麦辣鸡汁味,正常
238,顺宝九制梅,正常
239,145ml旺仔牛奶罐装,正常
240,乐事薯片（青柠）,正常
241,220g宝丰龙龟苓膏绿豆味,正常
242,107g出前一丁桶面酱香牛肉王,正常
243,小茗同学,正常
244,90g顺宝九制杨梅,正常
245,12g劲仔小鱼（香辣味）,正常
246,每日特惠,正常
247,新麦潮天然酵母面包（牛奶风味）,正常
248,480ml小茗同学冷泡溜溜哒茶,正常
249,日式鱼果,正常
250,盼盼手撕面包,正常
251,20g士力架,正常
252,小茗同学冷泡茶（乳酸菌味）,正常
253,脉动（椰子菠萝口味）,正常
254,雪碧,正常
255,新麦潮手撕面包（提子味）,正常
256,220g宝丰龙龟苓膏菊花味,正常
257,新麦潮北海道吐司,正常
258,口味王槟榔（绿色）,正常
259,娃哈哈红枣酸奶,正常
260,汤达人桶面,正常
