,商品,标签
61,雀巢咖啡,滞销
38,无穷农场盐_鸡蛋,滞销
69,香脆肠,滞销
58,500ml农夫果园 (芒果+菠萝+番石榴),滞销
52,50g上好佳日式鱼果,滞销
81,口味王槟榔（红）,滞销
180,40g乐事美国经典原味,滞销
125,雪力矿泉水,滞销
176,48g好丽友薯愿香烤原味,滞销
154,150g健能酸奶原味,滞销
122,65g卫龙亲嘴豆皮,滞销
159,160g盼盼手撕面包,滞销
201,68g好丽友巧克力派2枚,滞销
60,30g元朗小蛋卷,滞销
186,印尼芝士威化饼干,滞销
30,250ml维他奶低糖原味,滞销
39,40g呀土豆薯片滋香烤鸡味,滞销
161,10g卫龙亲嘴烧香辣味,滞销
68,百事可乐500ml,滞销
140,手撕素肉排,滞销
94,好吃点小饼干,滞销
109,70g乐事薯片黄瓜味,滞销
63,370g泰奇八宝粥,滞销
141,37.5g费列罗榛果威化巧克力3颗,滞销
137,20g马来西亚风味咪咪蟹味粒0219,滞销
163,250ml王老吉盒装,滞销
88,无穷烤鸡小腿（蜂蜜）,滞销
178,180ml雀巢咖啡罐装,滞销
145,阿萨姆煎茶奶绿,滞销
33,芙蓉王,滞销
100,100g果王咸柑桔罐装,滞销
85,40g呀土豆番茄酱味,滞销
199,50g马赛克手撕鱿鱼条,滞销
70,12g劲仔小鱼卤香味,滞销
149,225g味之不规则饼干芝士味,滞销
20,86g合味道浓猪骨味,滞销
144,美年达（罐）,滞销
146,尖叫,滞销
172,双汇玉米热狗肠,滞销
151,康师傅矿泉水,滞销
128,湘潭铺子(羽泉版),滞销
247,小糖衣血糖仪,滞销
78,50g上好佳田园薯片番茄味,滞销
66,新麦潮天然酵母面包,滞销
111,优益C活菌型乳酸菌饮品,滞销
175,80g马赛克香蕉片,滞销
134,椰树牌椰汁,滞销
171,250ml统一麦香奶茶,滞销
45,诗竹竹纤维面巾纸,滞销
71,250ML东鹏特饮,滞销
143,百事可乐330ml,滞销
150,旺仔牛奶,滞销
110,103g康师傅红烧牛肉面,滞销
181,68g好丽友蛋黄派2枚,滞销
168,80g香飘飘椰果奶茶原味,滞销
147,好吃点,滞销
120,卫龙亲嘴烧麦辣鸡汁味,滞销
138,统一来一桶香辣老坛酸菜牛肉面,滞销
116,55g奥利奥原味夹心饼干,滞销
117,日式鱼果,滞销
213,农夫果园,滞销
17,可乐可乐,滞销
205,80g香飘飘椰果奶茶麦香味,滞销
99,107g出前一丁桶面酱香牛肉王,滞销
179,韩国海牌海苔,滞销
221,40g乐事薯片墨西哥鸡汁番茄味,滞销
86,150g洽洽原香瓜子,滞销
57,燕塘红枣牛奶,滞销
248,怡宝矿泉水,滞销
165,250ml维他奶黑豆奶饮品,滞销
198,5片装益达绿箭口香糖,滞销
212,乐虎,滞销
190,34g公仔迷你杯牛肉味,滞销
62,188g澳门永辉鸡仔饼,滞销
177,四洲粟一烧烧烤味,滞销
210,70g乐事薯片（黄瓜味）,滞销
187,泰奇八宝粥,滞销
215,劲仔小鱼（卤香味）,滞销
182,维他原味豆奶,滞销
103,40g上好佳日式鱼果,滞销
97,劲仔小鱼,滞销
65,凤爪,滞销
113,50g双层百力滋特浓番茄味,滞销
95,劲仔小鱼（麻辣味）,滞销
102,150抽诗竹竹纤维面巾纸,滞销
183,新麦潮天然酵母面包（牛奶风味）,滞销
47,70g乐事薯片原味,滞销
133,鸡爪,滞销
200,美汁源果粒橙,滞销
225,32g卫龙亲嘴烧川香味,滞销
246,咪咪,滞销
170,250ml维他椰子植物蛋白饮料,滞销
148,奥利奥原味芝士,滞销
206,40g卫龙点心面黑椒牛排味,滞销
174,雪碧,滞销
48,260g马来西亚进口茱蒂丝口口香饼干,滞销
195,丽芝士纳宝帝奶酪威化饼干,滞销
83,55g奥利奥迷你杯夹心小饼干杯装原味,滞销
124,205ml安慕希蓝莓味,滞销
220,燕塘甜牛奶,滞销
162,盼盼手撕面包,滞销
202,480ml小茗同学冷泡溜溜哒茶,滞销
207,统一阿萨姆奶茶,滞销
211,68g多力多玉米片爆香热辣味,滞销
53,50g双层百力滋奶咖味,滞销
253,益力多100g*5瓶,滞销
25,维他奶黑豆奶饮品,滞销
1,100g卫龙点心面黑椒牛排味,滞销
101,多芙利香草奶油味蛋糕,滞销
204,180g统一满汉全席台式半筋半肉牛肉面,滞销
218,燕塘原味酸奶,滞销
214,冰红茶（罐）,滞销
217,小茗同学,滞销
152,250ml维他椰子植物蛋白饮料9374,滞销
191,500ml营养快线原味,滞销
232,70g乐事薯片（原味）,滞销
188,上好佳田园薯片,滞销
223,合味道（浓猪骨）,滞销
156,40g上好佳田园薯片番茄味,滞销
173,117gUFO炒面铁板色拉鱿鱼风味,滞销
196,新麦潮手撕面包（提子味）,滞销
197,130g果王玉带蚕豆,滞销
158,脉动（青柠）,滞销
64,乐虎（380ml）,滞销
59,10g越南LIPO奶味面包干,滞销
230,20g士力架,滞销
216,可口可乐330ml（罐）,滞销
231,78g合味道杯面香菇炖鸡风味,滞销
219,天地一号,滞销
244,维他奶（巧克力味）,滞销
238,新麦潮北海道吐司,滞销
235,经典奶茶,滞销
112,10g越南LIPO奶味面包干0015,滞销
255,13g雀巢咖啡1+2特浓,滞销
226,500ml康师傅冰糖雪梨,滞销
209,145g果王迷你山楂包装,滞销
127,威化饼干,滞销
153,红利群（硬）,滞销
208,500ML宝矿力,滞销
164,合味道（海鲜风味）,滞销
203,83g汤达人酸辣豚骨拉面,滞销
194,500ml统一冰糖雪梨,滞销
192,加多宝,滞销
166,商品2,滞销
139,越南LIPO奶味面包干100g,滞销
228,500ml恒大冰泉矿泉水,滞销
240,维他柠檬茶330ml（罐）,滞销
251,旺仔牛奶145ml,滞销
270,拿铁咖啡（统一）,滞销
237,珠江纯生啤酒,滞销
261,20g咩咩世界虾味条,滞销
243,娃哈哈红枣酸奶,滞销
264,123gUFO炒面XO酱海鲜风味,滞销
252,商品1,滞销
169,58.5g钙芝奶酪味高钙威化饼干,滞销
239,口味王槟榔（绿色）,滞销
98,安慕希酸奶,滞销
22,14g德芙巧克力,滞销
256,220g宝丰龙龟苓膏菊花味,滞销
254,汤达人方便面,滞销
234,乐事薯片（青柠）,滞销
233,250ml香满楼纯牛奶,滞销
185,劲仔小鱼（酱汁味）,滞销
229,健能酸奶,滞销
227,劲仔小鱼（香辣味）,滞销
193,145ml旺仔牛奶罐装,滞销
222,10g越南LIPO奶味面包干0046,滞销
119,56g益达无糖口香糖,滞销
160,巧克力奶油味蛋糕,滞销
263,220g宝丰龙龟苓膏,滞销
262,20g洽洽每日坚果,滞销
272,小糖衣血糖试纸,滞销
265,40g盼盼手撕面包,滞销
266,味之不规则饼干（芝士味）,滞销
271,34g公仔迷你杯风味排骨味,滞销
267,脉动（椰子菠萝口味）,滞销
259,越南LIPO奶味面包干10g,滞销
269,78g卫龙亲语,滞销
268,80g粤光宝盒芒果干,滞销
260,60g湖湘贡手撕鸭脖原味,滞销
189,65g格力高百力滋饼干巧克力味,滞销
258,乐事薯片（黄瓜味）,滞销
257,芦荟汁,滞销
250,贡美忆江南充电宝5000mAh,滞销
249,182g徐福记凤梨酥,滞销
245,贡美苹果数据线,滞销
242,70g乐事薯片青柠味,滞销
241,多力多滋（热辣味）,滞销
236,新麦潮天然酵母面包（良品铺子）,滞销
224,100g越南LIPO奶味面包干,滞销
184,和成天下（黄）,滞销
80,钙芝奶酪味高钙威化饼干,滞销
118,120g达利园蔓越莓提子面包,滞销
96,小茗同学冷泡茶（乳酸菌味）,滞销
273,康师傅拉面(袋),滞销
