,商品,标签
243,乐事薯片（青柠）,滞销
244,新麦潮天然酵母面包（良品铺子）,滞销
245,新麦潮手撕面包（提子味）,滞销
246,70g乐事薯片（原味）,滞销
247,天地一号,滞销
248,100g越南LIPO奶味面包干,滞销
249,100g卫龙点心面黑椒牛排味,滞销
250,脉动（椰子菠萝口味）,滞销
251,220g宝丰龙龟苓膏,滞销
252,劲仔小鱼,滞销
253,10g越南LIPO奶味面包干,滞销
254,250ml维他奶黑豆奶饮品,滞销
255,250ml维他椰子植物蛋白饮料9374,滞销
256,多芙利香草奶油味蛋糕,滞销
257,维他奶黑豆奶饮品,滞销
258,味之不规则饼干（番茄味）,滞销
259,商品36,滞销
260,劲仔小鱼（香辣味）,滞销
261,20g洽洽每日坚果,滞销
262,利群（硬）,滞销
263,拿铁咖啡（统一）,滞销
264,商品21,滞销
265,75g达利园柠檬蛋糕,滞销
