,商品,销售标签,总金额标签,商品总体画像
104,250ml燕塘红枣牛奶,热销,普通,热销普通
105,32g卫龙亲嘴烧红烧牛肉味,热销,低金额,热销低金额
106,40g乐事薯片黄瓜味,滞销,普通,滞销普通
107,可口可乐330ml,滞销,低金额,滞销低金额
108,熊字饼,滞销,低金额,滞销低金额
109,70g乐事薯片黄瓜味,滞销,低金额,滞销低金额
110,103g康师傅红烧牛肉面,滞销,低金额,滞销低金额
111,优益C活菌型乳酸菌饮品,滞销,低金额,滞销低金额
112,10g越南LIPO奶味面包干0015,滞销,低金额,滞销低金额
113,50g双层百力滋特浓番茄味,滞销,低金额,滞销低金额
114,12g劲仔小鱼麻辣味,热销,普通,热销普通
115,可口可乐（500ml）,热销,普通,热销普通
116,55g奥利奥原味夹心饼干,滞销,低金额,滞销低金额
117,日式鱼果,滞销,低金额,滞销低金额
118,120g达利园蔓越莓提子面包,滞销,低金额,滞销低金额
119,56g益达无糖口香糖,滞销,低金额,滞销低金额
120,卫龙亲嘴烧麦辣鸡汁味,滞销,低金额,滞销低金额
121,维他柠檬茶,滞销,低金额,滞销低金额
122,65g卫龙亲嘴豆皮,滞销,低金额,滞销低金额
123,100g*5瓶益力多,滞销,普通,滞销普通
124,205ml安慕希蓝莓味,滞销,低金额,滞销低金额
125,雪力矿泉水,滞销,低金额,滞销低金额
126,怡宝,滞销,低金额,滞销低金额
127,威化饼干,滞销,低金额,滞销低金额
128,湘潭铺子(羽泉版),滞销,低金额,滞销低金额
129,口味王槟榔（绿）,滞销,普通,滞销普通
130,茉莉蜜茶,滞销,低金额,滞销低金额
131,雪碧330ml,滞销,低金额,滞销低金额
132,王老吉（罐）,滞销,普通,滞销普通
133,鸡爪,滞销,低金额,滞销低金额
134,椰树牌椰汁,滞销,低金额,滞销低金额
135,600ml可口可乐,滞销,低金额,滞销低金额
136,250ml维他奶巧克力味,滞销,低金额,滞销低金额
137,20g马来西亚风味咪咪蟹味粒0219,滞销,低金额,滞销低金额
138,统一来一桶香辣老坛酸菜牛肉面,滞销,低金额,滞销低金额
139,越南LIPO奶味面包干100g,滞销,低金额,滞销低金额
140,手撕素肉排,滞销,低金额,滞销低金额
141,37.5g费列罗榛果威化巧克力3颗,滞销,普通,滞销普通
142,芬达330ml,滞销,低金额,滞销低金额
143,百事可乐330ml,滞销,低金额,滞销低金额
144,美年达（罐）,滞销,低金额,滞销低金额
145,阿萨姆煎茶奶绿,滞销,低金额,滞销低金额
146,尖叫,滞销,低金额,滞销低金额
147,好吃点,滞销,低金额,滞销低金额
148,奥利奥原味芝士,滞销,低金额,滞销低金额
149,225g味之不规则饼干芝士味,滞销,低金额,滞销低金额
150,旺仔牛奶,滞销,低金额,滞销低金额
151,康师傅矿泉水,滞销,低金额,滞销低金额
152,250ml维他椰子植物蛋白饮料9374,滞销,低金额,滞销低金额
153,红利群（硬）,滞销,低金额,滞销低金额
154,150g健能酸奶原味,滞销,低金额,滞销低金额
155,600ml雪碧,滞销,低金额,滞销低金额
156,40g上好佳田园薯片番茄味,滞销,低金额,滞销低金额
157,91g徐福记凤梨酥,滞销,低金额,滞销低金额
158,脉动（青柠）,滞销,低金额,滞销低金额
159,160g盼盼手撕面包,滞销,低金额,滞销低金额
160,巧克力奶油味蛋糕,滞销,低金额,滞销低金额
161,10g卫龙亲嘴烧香辣味,滞销,低金额,滞销低金额
162,盼盼手撕面包,滞销,低金额,滞销低金额
163,250ml王老吉盒装,滞销,低金额,滞销低金额
164,合味道（海鲜风味）,滞销,低金额,滞销低金额
165,250ml维他奶黑豆奶饮品,滞销,低金额,滞销低金额
166,商品2,滞销,低金额,滞销低金额
167,480ml小茗同学冷泡青柠红茶,滞销,低金额,滞销低金额
168,80g香飘飘椰果奶茶原味,滞销,低金额,滞销低金额
169,58.5g钙芝奶酪味高钙威化饼干,滞销,低金额,滞销低金额
170,250ml维他椰子植物蛋白饮料,滞销,低金额,滞销低金额
171,250ml统一麦香奶茶,滞销,低金额,滞销低金额
172,双汇玉米热狗肠,滞销,低金额,滞销低金额
173,117gUFO炒面铁板色拉鱿鱼风味,滞销,低金额,滞销低金额
174,雪碧,滞销,低金额,滞销低金额
175,80g马赛克香蕉片,滞销,低金额,滞销低金额
176,48g好丽友薯愿香烤原味,滞销,低金额,滞销低金额
177,四洲粟一烧烧烤味,滞销,低金额,滞销低金额
178,180ml雀巢咖啡罐装,滞销,低金额,滞销低金额
179,韩国海牌海苔,滞销,低金额,滞销低金额
180,40g乐事美国经典原味,滞销,低金额,滞销低金额
181,68g好丽友蛋黄派2枚,滞销,低金额,滞销低金额
182,维他原味豆奶,滞销,低金额,滞销低金额
183,新麦潮天然酵母面包（牛奶风味）,滞销,低金额,滞销低金额
184,和成天下（黄）,滞销,低金额,滞销低金额
185,劲仔小鱼（酱汁味）,滞销,低金额,滞销低金额
186,印尼芝士威化饼干,滞销,低金额,滞销低金额
187,泰奇八宝粥,滞销,低金额,滞销低金额
188,上好佳田园薯片,滞销,低金额,滞销低金额
189,65g格力高百力滋饼干巧克力味,滞销,低金额,滞销低金额
190,34g公仔迷你杯牛肉味,滞销,低金额,滞销低金额
191,500ml营养快线原味,滞销,低金额,滞销低金额
192,加多宝,滞销,低金额,滞销低金额
193,145ml旺仔牛奶罐装,滞销,低金额,滞销低金额
194,500ml统一冰糖雪梨,滞销,低金额,滞销低金额
195,丽芝士纳宝帝奶酪威化饼干,滞销,低金额,滞销低金额
196,新麦潮手撕面包（提子味）,滞销,低金额,滞销低金额
197,130g果王玉带蚕豆,滞销,低金额,滞销低金额
198,5片装益达绿箭口香糖,滞销,低金额,滞销低金额
199,50g马赛克手撕鱿鱼条,滞销,低金额,滞销低金额
200,美汁源果粒橙,滞销,低金额,滞销低金额
201,68g好丽友巧克力派2枚,滞销,低金额,滞销低金额
202,480ml小茗同学冷泡溜溜哒茶,滞销,低金额,滞销低金额
203,83g汤达人酸辣豚骨拉面,滞销,低金额,滞销低金额
204,180g统一满汉全席台式半筋半肉牛肉面,滞销,普通,滞销普通
205,80g香飘飘椰果奶茶麦香味,滞销,低金额,滞销低金额
206,40g卫龙点心面黑椒牛排味,滞销,低金额,滞销低金额
207,统一阿萨姆奶茶,滞销,低金额,滞销低金额
208,500ML宝矿力,滞销,低金额,滞销低金额
209,145g果王迷你山楂包装,滞销,低金额,滞销低金额
210,70g乐事薯片（黄瓜味）,滞销,低金额,滞销低金额
211,68g多力多玉米片爆香热辣味,滞销,低金额,滞销低金额
212,乐虎,滞销,低金额,滞销低金额
213,农夫果园,滞销,低金额,滞销低金额
214,冰红茶（罐）,滞销,低金额,滞销低金额
215,劲仔小鱼（卤香味）,滞销,低金额,滞销低金额
216,可口可乐330ml（罐）,滞销,低金额,滞销低金额
217,小茗同学,滞销,低金额,滞销低金额
218,燕塘原味酸奶,滞销,低金额,滞销低金额
219,天地一号,滞销,低金额,滞销低金额
220,燕塘甜牛奶,滞销,低金额,滞销低金额
221,40g乐事薯片墨西哥鸡汁番茄味,滞销,低金额,滞销低金额
222,10g越南LIPO奶味面包干0046,滞销,低金额,滞销低金额
223,合味道（浓猪骨）,滞销,低金额,滞销低金额
224,100g越南LIPO奶味面包干,滞销,低金额,滞销低金额
225,32g卫龙亲嘴烧川香味,滞销,低金额,滞销低金额
226,500ml康师傅冰糖雪梨,滞销,低金额,滞销低金额
227,劲仔小鱼（香辣味）,滞销,低金额,滞销低金额
228,500ml恒大冰泉矿泉水,滞销,低金额,滞销低金额
229,健能酸奶,滞销,低金额,滞销低金额
230,20g士力架,滞销,低金额,滞销低金额
231,78g合味道杯面香菇炖鸡风味,滞销,低金额,滞销低金额
232,70g乐事薯片（原味）,滞销,低金额,滞销低金额
233,250ml香满楼纯牛奶,滞销,低金额,滞销低金额
234,乐事薯片（青柠）,滞销,低金额,滞销低金额
235,经典奶茶,滞销,低金额,滞销低金额
236,新麦潮天然酵母面包（良品铺子）,滞销,低金额,滞销低金额
237,珠江纯生啤酒,滞销,低金额,滞销低金额
238,新麦潮北海道吐司,滞销,低金额,滞销低金额
239,口味王槟榔（绿色）,滞销,低金额,滞销低金额
240,维他柠檬茶330ml（罐）,滞销,低金额,滞销低金额
241,多力多滋（热辣味）,滞销,低金额,滞销低金额
242,70g乐事薯片青柠味,滞销,低金额,滞销低金额
243,娃哈哈红枣酸奶,滞销,低金额,滞销低金额
244,维他奶（巧克力味）,滞销,低金额,滞销低金额
245,贡美苹果数据线,滞销,低金额,滞销低金额
246,咪咪,滞销,低金额,滞销低金额
247,小糖衣血糖仪,滞销,低金额,滞销低金额
248,怡宝矿泉水,滞销,低金额,滞销低金额
249,182g徐福记凤梨酥,滞销,低金额,滞销低金额
250,贡美忆江南充电宝5000mAh,滞销,低金额,滞销低金额
251,旺仔牛奶145ml,滞销,低金额,滞销低金额
252,商品1,滞销,低金额,滞销低金额
253,益力多100g*5瓶,滞销,低金额,滞销低金额
254,汤达人方便面,滞销,低金额,滞销低金额
255,13g雀巢咖啡1+2特浓,滞销,低金额,滞销低金额
256,220g宝丰龙龟苓膏菊花味,滞销,低金额,滞销低金额
257,芦荟汁,滞销,低金额,滞销低金额
258,乐事薯片（黄瓜味）,滞销,低金额,滞销低金额
259,越南LIPO奶味面包干10g,滞销,低金额,滞销低金额
260,60g湖湘贡手撕鸭脖原味,滞销,低金额,滞销低金额
261,20g咩咩世界虾味条,滞销,低金额,滞销低金额
262,20g洽洽每日坚果,滞销,低金额,滞销低金额
263,220g宝丰龙龟苓膏,滞销,低金额,滞销低金额
264,123gUFO炒面XO酱海鲜风味,滞销,低金额,滞销低金额
265,40g盼盼手撕面包,滞销,低金额,滞销低金额
266,味之不规则饼干（芝士味）,滞销,低金额,滞销低金额
267,脉动（椰子菠萝口味）,滞销,低金额,滞销低金额
268,80g粤光宝盒芒果干,滞销,低金额,滞销低金额
269,78g卫龙亲语,滞销,低金额,滞销低金额
270,拿铁咖啡（统一）,滞销,低金额,滞销低金额
271,34g公仔迷你杯风味排骨味,滞销,低金额,滞销低金额
272,小糖衣血糖试纸,滞销,低金额,滞销低金额
273,康师傅拉面(袋),滞销,低金额,滞销低金额
