,商品,销售标签,总金额标签,商品总体画像
114,123gUFO炒面XO酱海鲜风味,滞销,低金额,滞销低金额
115,250ml维他奶巧克力味,滞销,低金额,滞销低金额
116,合味道（海鲜风味）,滞销,低金额,滞销低金额
117,75g新麦潮天然酵母面包（北海道牛奶风味）,滞销,低金额,滞销低金额
118,40g乐事美国经典原味,滞销,低金额,滞销低金额
119,美汁源果粒橙,滞销,低金额,滞销低金额
120,450ml美汁源果粒橙,滞销,低金额,滞销低金额
121,205g伊利安慕希原味,滞销,低金额,滞销低金额
122,燕塘甜牛奶,滞销,低金额,滞销低金额
123,凤爪,滞销,低金额,滞销低金额
124,阿萨姆煎茶奶绿,滞销,低金额,滞销低金额
125,维他奶,滞销,低金额,滞销低金额
126,卫龙亲嘴烧红烧牛肉味,滞销,低金额,滞销低金额
127,可乐可乐,滞销,低金额,滞销低金额
128,口味王槟榔（红）,滞销,普通,滞销普通
129,茉莉蜜茶,滞销,低金额,滞销低金额
130,口味王槟榔（绿）,滞销,普通,滞销普通
131,100g*5瓶益力多,滞销,普通,滞销普通
132,85g统一老坛酸菜牛肉面,滞销,普通,滞销普通
133,500ml康师傅冰糖雪梨,滞销,低金额,滞销低金额
134,40g上好佳田园薯片,滞销,低金额,滞销低金额
135,伊利纯牛奶,滞销,低金额,滞销低金额
136,百事可乐500ml,滞销,低金额,滞销低金额
137,尖叫,滞销,低金额,滞销低金额
138,100g果王咸柑桔罐装,滞销,低金额,滞销低金额
139,卫龙亲嘴烧麦辣鸡汁味,滞销,低金额,滞销低金额
140,迷你纸巾,滞销,低金额,滞销低金额
141,冰红茶（罐）,滞销,低金额,滞销低金额
142,维他奶（巧克力味）,滞销,低金额,滞销低金额
143,小茗同学,滞销,低金额,滞销低金额
144,雪力矿泉水,滞销,低金额,滞销低金额
145,美年达（罐）,滞销,低金额,滞销低金额
146,250ml维他奶低糖原味,滞销,低金额,滞销低金额
147,250ml维他椰子植物蛋白饮料,滞销,低金额,滞销低金额
148,手撕素肉排,滞销,低金额,滞销低金额
149,鸡爪,滞销,低金额,滞销低金额
150,乐虎,滞销,低金额,滞销低金额
151,椰树牌椰汁,滞销,低金额,滞销低金额
152,480ml小茗同学冷泡溜溜哒茶,滞销,低金额,滞销低金额
153,480ml小茗同学冷泡青柠红茶,滞销,低金额,滞销低金额
154,600ml脉动青柠,滞销,低金额,滞销低金额
155,117gUFO炒面铁板色拉鱿鱼风味,滞销,低金额,滞销低金额
156,脉动（青柠）,滞销,低金额,滞销低金额
157,268ml雀巢咖啡丝滑拿铁,滞销,普通,滞销普通
158,50g双层百力滋奶咖味,滞销,低金额,滞销低金额
159,小茗同学（青柠红茶）,滞销,低金额,滞销低金额
160,500ml农夫果园 (芒果+菠萝+番石榴),滞销,低金额,滞销低金额
161,91g徐福记凤梨酥,滞销,低金额,滞销低金额
162,103g康师傅红烧牛肉面,滞销,低金额,滞销低金额
163,148g富甲一方紫薯仔,滞销,低金额,滞销低金额
164,50g马赛克手撕鱿鱼条,滞销,低金额,滞销低金额
165,怡宝矿泉水,滞销,低金额,滞销低金额
166,12g劲仔小鱼卤香味,滞销,低金额,滞销低金额
167,40g呀土豆番茄酱味,滞销,低金额,滞销低金额
168,80g香飘飘椰果奶茶原味,滞销,低金额,滞销低金额
169,85g嘉士利果乐果香夹心饼干蓝莓味,滞销,低金额,滞销低金额
170,诗竹竹纤维面巾纸,滞销,低金额,滞销低金额
171,150抽诗竹竹纤维面巾纸,滞销,低金额,滞销低金额
172,370g泰奇八宝粥,滞销,低金额,滞销低金额
173,205ml安慕希蓝莓味,滞销,低金额,滞销低金额
174,130g果王玉带蚕豆,滞销,低金额,滞销低金额
175,260g马来西亚进口茱蒂丝口口香饼干,滞销,普通,滞销普通
176,500ml营养快线原味,滞销,低金额,滞销低金额
177,乐事薯片（黄瓜味）,滞销,低金额,滞销低金额
178,40g上好佳田园薯片番茄味,滞销,低金额,滞销低金额
179,500ml恒大冰泉矿泉水,滞销,低金额,滞销低金额
180,40g呀土豆薯片滋香烤鸡味,滞销,低金额,滞销低金额
181,70g乐事薯片黄瓜味,滞销,低金额,滞销低金额
182,日式鱼果,滞销,低金额,滞销低金额
183,80g马赛克香蕉片,滞销,低金额,滞销低金额
184,12g劲仔小鱼（香辣味）,滞销,低金额,滞销低金额
185,和成天下（黄）,滞销,低金额,滞销低金额
186,68g好丽友蛋黄派2枚,滞销,低金额,滞销低金额
187,奥利奥原味芝士,滞销,低金额,滞销低金额
188,雀巢咖啡,滞销,低金额,滞销低金额
189,80g四洲粟一烧烧烤味,滞销,低金额,滞销低金额
190,150g健能酸奶原味,滞销,低金额,滞销低金额
191,湘潭铺子(羽泉版),滞销,低金额,滞销低金额
192,250ml维他椰子味豆奶7716,滞销,低金额,滞销低金额
193,50g双层百力滋特浓番茄味,滞销,低金额,滞销低金额
194,20g咩咩世界虾味条,滞销,低金额,滞销低金额
195,旺仔牛奶,滞销,低金额,滞销低金额
196,34g公仔迷你杯风味排骨味,滞销,低金额,滞销低金额
197,统一阿萨姆奶茶,滞销,低金额,滞销低金额
198,新麦潮天然酵母面包（牛奶风味）,滞销,低金额,滞销低金额
199,250ml香满楼纯牛奶,滞销,低金额,滞销低金额
200,50g上好佳田园薯片番茄味,滞销,低金额,滞销低金额
201,汤达人方便面,滞销,低金额,滞销低金额
202,上好佳田园薯片,滞销,低金额,滞销低金额
203,安慕希酸奶,滞销,低金额,滞销低金额
204,34g公仔迷你杯牛肉味,滞销,低金额,滞销低金额
205,芦荟汁,滞销,低金额,滞销低金额
206,10g卫龙亲嘴烧香辣味,滞销,低金额,滞销低金额
207,180g统一满汉全席台式半筋半肉牛肉面,滞销,普通,滞销普通
208,500ML宝矿力,滞销,低金额,滞销低金额
209,越南LIPO奶味面包干100g,滞销,低金额,滞销低金额
210,70g乐事薯片原味,滞销,低金额,滞销低金额
211,40g盼盼手撕面包,滞销,低金额,滞销低金额
212,百事可乐330ml,滞销,低金额,滞销低金额
213,68g多力多玉米片爆香热辣味,滞销,低金额,滞销低金额
214,商品14,滞销,低金额,滞销低金额
215,145ml旺仔牛奶罐装,滞销,低金额,滞销低金额
216,新麦潮北海道吐司,滞销,低金额,滞销低金额
217,80g盼盼手撕面包,滞销,低金额,滞销低金额
218,优益C活菌型乳酸菌饮品,滞销,低金额,滞销低金额
219,顺宝九制梅,滞销,低金额,滞销低金额
220,70g乐事薯片（黄瓜味）,滞销,低金额,滞销低金额
221,维他柠檬茶330ml（罐）,滞销,低金额,滞销低金额
222,13g雀巢咖啡1+2特浓,滞销,低金额,滞销低金额
223,78g卫龙亲语,滞销,低金额,滞销低金额
224,107g出前一丁桶面酱香牛肉王,滞销,低金额,滞销低金额
225,小茗同学冷泡茶（乳酸菌味）,滞销,低金额,滞销低金额
226,多力多滋（热辣味）,滞销,低金额,滞销低金额
227,78g合味道杯面香菇炖鸡风味,滞销,低金额,滞销低金额
228,32g卫龙亲嘴烧川香味,滞销,低金额,滞销低金额
229,珠江纯生啤酒,滞销,低金额,滞销低金额
230,健能酸奶,滞销,低金额,滞销低金额
231,口味王槟榔（绿色）,滞销,低金额,滞销低金额
232,农夫果园,滞销,低金额,滞销低金额
233,娃哈哈红枣酸奶,滞销,低金额,滞销低金额
234,乖媳妇野山椒风爪,滞销,低金额,滞销低金额
235,330ml伊利畅意乳酸菌草莓味,滞销,低金额,滞销低金额
236,商品2,滞销,低金额,滞销低金额
237,小糖衣血糖仪,滞销,低金额,滞销低金额
238,合味道（浓猪骨）,滞销,低金额,滞销低金额
239,10g越南LIPO奶味面包干0015,滞销,低金额,滞销低金额
240,70g乐事薯片青柠味,滞销,低金额,滞销低金额
241,益力多100g*5瓶,滞销,低金额,滞销低金额
242,可口可乐330ml（罐）,滞销,低金额,滞销低金额
243,乐事薯片（青柠）,滞销,低金额,滞销低金额
244,新麦潮天然酵母面包（良品铺子）,滞销,低金额,滞销低金额
245,新麦潮手撕面包（提子味）,滞销,低金额,滞销低金额
246,70g乐事薯片（原味）,滞销,低金额,滞销低金额
247,天地一号,滞销,低金额,滞销低金额
248,100g越南LIPO奶味面包干,滞销,低金额,滞销低金额
249,100g卫龙点心面黑椒牛排味,滞销,低金额,滞销低金额
250,脉动（椰子菠萝口味）,滞销,低金额,滞销低金额
251,220g宝丰龙龟苓膏,滞销,低金额,滞销低金额
252,劲仔小鱼,滞销,低金额,滞销低金额
253,10g越南LIPO奶味面包干,滞销,低金额,滞销低金额
254,250ml维他奶黑豆奶饮品,滞销,低金额,滞销低金额
255,250ml维他椰子植物蛋白饮料9374,滞销,低金额,滞销低金额
256,多芙利香草奶油味蛋糕,滞销,低金额,滞销低金额
257,维他奶黑豆奶饮品,滞销,低金额,滞销低金额
258,味之不规则饼干（番茄味）,滞销,低金额,滞销低金额
259,商品36,滞销,低金额,滞销低金额
260,劲仔小鱼（香辣味）,滞销,低金额,滞销低金额
261,20g洽洽每日坚果,滞销,低金额,滞销低金额
262,利群（硬）,滞销,低金额,滞销低金额
263,拿铁咖啡（统一）,滞销,低金额,滞销低金额
264,商品21,滞销,低金额,滞销低金额
265,75g达利园柠檬蛋糕,滞销,低金额,滞销低金额
